questionerType,initState,goal,question,prob
pragmatic,"A2,A3,C1",columns,C2,0.17
pragmatic,"A2,A3,C1",columns,C3,0.17
explicit,"A2,A3,C1",rows,A1,1.00
pragmatic,"A2,A3,C1",rows,A1,1.00
explicit,"A2,A3,C2,C3",columns,B2,0.50
explicit,"A2,A3,C2,C3",columns,B3,0.50
pragmatic,"A2,A3,C2,C3",columns,B2,0.50
pragmatic,"A2,A3,C2,C3",columns,B3,0.50
explicit,"A2,A3,C2,C3",rows,A1,0.50
explicit,"A2,A3,C2,C3",rows,C1,0.50
pragmatic,"A2,A3,C2,C3",rows,A1,0.50
pragmatic,"A2,A3,C2,C3",rows,C1,0.50
explicit,"A2,A3,C2",columns,B2,1.00
pragmatic,"A2,A3,C2",columns,B2,1.00
explicit,"A2,A3,C2",rows,A1,1.00
pragmatic,"A2,A3,C2",rows,A1,1.00
explicit,"A2,A3,C3",columns,B3,1.00
pragmatic,"A2,A3,C3",columns,B3,1.00
explicit,"A2,A3,C3",rows,A1,1.00
pragmatic,"A2,A3,C3",rows,A1,1.00
explicit,"A2,A3",columns,B2,0.25
explicit,"A2,A3",columns,B3,0.25
explicit,"A2,A3",columns,C2,0.25
explicit,"A2,A3",columns,C3,0.25
pragmatic,"A2,A3",columns,B2,0.25
pragmatic,"A2,A3",columns,B3,0.25
pragmatic,"A2,A3",columns,C2,0.25
pragmatic,"A2,A3",columns,C3,0.25
explicit,"A2,A3",rows,A1,1.00
pragmatic,"A2,A3",rows,A1,1.00
explicit,"A2,B1,B2,C1,C3",columns,A1,0.50
explicit,"A2,B1,B2,C1,C3",columns,C2,0.50
pragmatic,"A2,B1,B2,C1,C3",columns,A1,0.99
pragmatic,"A2,B1,B2,C1,C3",columns,C2,0.01
explicit,"A2,B1,B2,C1,C3",rows,B3,0.50
explicit,"A2,B1,B2,C1,C3",rows,C2,0.50
pragmatic,"A2,B1,B2,C1,C3",rows,B3,0.99
pragmatic,"A2,B1,B2,C1,C3",rows,C2,0.01
explicit,"A2,B1,B2,C1",columns,A1,0.50
explicit,"A2,B1,B2,C1",columns,C2,0.50
pragmatic,"A2,B1,B2,C1",columns,A1,0.50
pragmatic,"A2,B1,B2,C1",columns,C2,0.50
explicit,"A2,B1,B2,C1",rows,B3,1.00
pragmatic,"A2,B1,B2,C1",rows,B3,1.00
explicit,"A2,B1,B2,C3",columns,C2,1.00
pragmatic,"A2,B1,B2,C3",columns,C2,0.99
explicit,"A2,B1,B2,C3",rows,B3,1.00
pragmatic,"A2,B1,B2,C3",rows,B3,0.99
explicit,"A2,B1,B2",columns,C2,1.00
pragmatic,"A2,B1,B2",columns,C2,1.00
explicit,"A2,B1,B2",rows,B3,1.00
pragmatic,"A2,B1,B2",rows,B3,1.00
explicit,"A2,B1,B3,C1,C2",columns,A1,0.50
explicit,"A2,B1,B3,C1,C2",columns,B2,0.50
pragmatic,"A2,B1,B3,C1,C2",columns,A1,0.99
pragmatic,"A2,B1,B3,C1,C2",columns,B2,0.01
explicit,"A2,B1,B3,C1,C2",rows,B2,0.50
explicit,"A2,B1,B3,C1,C2",rows,C3,0.50
pragmatic,"A2,B1,B3,C1,C2",rows,B2,0.01
pragmatic,"A2,B1,B3,C1,C2",rows,C3,0.99
explicit,"A2,B1,B3,C1,C3",columns,A1,0.50
explicit,"A2,B1,B3,C1,C3",columns,A3,0.50
pragmatic,"A2,B1,B3,C1,C3",columns,A1,0.50
pragmatic,"A2,B1,B3,C1,C3",columns,A3,0.50
explicit,"A2,B1,B3,C1,C3",rows,B2,0.50
explicit,"A2,B1,B3,C1,C3",rows,C2,0.50
pragmatic,"A2,B1,B3,C1,C3",rows,B2,0.50
pragmatic,"A2,B1,B3,C1,C3",rows,C2,0.50
explicit,"A2,B1,B3,C1",columns,A1,1.00
pragmatic,"A2,B1,B3,C1",columns,A1,0.99
explicit,"A2,B1,B3,C1",rows,B2,1.00
pragmatic,"A2,B1,B3,C1",rows,B2,0.99
explicit,"A2,B1,B3,C2,C3",columns,A3,0.50
explicit,"A2,B1,B3,C2,C3",columns,B2,0.50
pragmatic,"A2,B1,B3,C2,C3",columns,A3,0.99
pragmatic,"A2,B1,B3,C2,C3",columns,B2,0.01
explicit,"A2,B1,B3,C2,C3",rows,B2,0.50
explicit,"A2,B1,B3,C2,C3",rows,C1,0.50
pragmatic,"A2,B1,B3,C2,C3",rows,B2,0.01
pragmatic,"A2,B1,B3,C2,C3",rows,C1,0.99
explicit,"A2,B1,B3,C2",columns,B2,1.00
pragmatic,"A2,B1,B3,C2",columns,B2,0.98
explicit,"A2,B1,B3,C2",rows,B2,1.00
pragmatic,"A2,B1,B3,C2",rows,B2,0.98
explicit,"A2,B1,B3,C3",columns,A3,1.00
pragmatic,"A2,B1,B3,C3",columns,A3,0.99
explicit,"A2,B1,B3,C3",rows,B2,1.00
pragmatic,"A2,B1,B3,C3",rows,B2,0.99
explicit,"A2,B1,B3",columns,A1,0.17
explicit,"A2,B1,B3",columns,A3,0.17
explicit,"A2,B1,B3",columns,B2,0.17
explicit,"A2,B1,B3",columns,C1,0.17
explicit,"A2,B1,B3",columns,C2,0.17
explicit,"A2,B1,B3",columns,C3,0.17
pragmatic,"A2,B1,B3",columns,A1,0.17
pragmatic,"A2,B1,B3",columns,A3,0.17
pragmatic,"A2,B1,B3",columns,C1,0.22
pragmatic,"A2,B1,B3",columns,C2,0.22
pragmatic,"A2,B1,B3",columns,C3,0.22
explicit,"A2,B1,B3",rows,B2,1.00
pragmatic,"A2,B1,B3",rows,B2,1.00
explicit,"A2,B1,C1,C2",columns,A1,0.50
explicit,"A2,B1,C1,C2",columns,B2,0.50
pragmatic,"A2,B1,C1,C2",columns,A1,0.50
pragmatic,"A2,B1,C1,C2",columns,B2,0.50
explicit,"A2,B1,C1,C2",rows,C3,1.00
pragmatic,"A2,B1,C1,C2",rows,C3,1.00
explicit,"A2,B1,C1,C3",columns,A1,1.00
pragmatic,"A2,B1,C1,C3",columns,A1,0.99
explicit,"A2,B1,C1,C3",rows,C2,1.00
pragmatic,"A2,B1,C1,C3",rows,C2,0.99
explicit,"A2,B1,C1",columns,A1,1.00
pragmatic,"A2,B1,C1",columns,A1,1.00
explicit,"A2,B1,C1",rows,A1,0.17
explicit,"A2,B1,C1",rows,A3,0.17
explicit,"A2,B1,C1",rows,B2,0.17
explicit,"A2,B1,C1",rows,B3,0.17
explicit,"A2,B1,C1",rows,C2,0.17
explicit,"A2,B1,C1",rows,C3,0.17
pragmatic,"A2,B1,C1",rows,A3,0.22
pragmatic,"A2,B1,C1",rows,B2,0.17
pragmatic,"A2,B1,C1",rows,B3,0.22
pragmatic,"A2,B1,C1",rows,C2,0.17
pragmatic,"A2,B1,C1",rows,C3,0.22
explicit,"A2,B1,C2,C3",columns,B2,1.00
pragmatic,"A2,B1,C2,C3",columns,B2,0.99
explicit,"A2,B1,C2,C3",rows,C1,1.00
pragmatic,"A2,B1,C2,C3",rows,C1,0.99
explicit,"A2,B1,C2",columns,B2,1.00
pragmatic,"A2,B1,C2",columns,B2,1.00
explicit,"A2,B1,C2",rows,A1,0.17
explicit,"A2,B1,C2",rows,A3,0.17
explicit,"A2,B1,C2",rows,B2,0.17
explicit,"A2,B1,C2",rows,B3,0.17
explicit,"A2,B1,C2",rows,C1,0.17
explicit,"A2,B1,C2",rows,C3,0.17
pragmatic,"A2,B1,C2",rows,A1,0.17
pragmatic,"A2,B1,C2",rows,A3,0.22
pragmatic,"A2,B1,C2",rows,B3,0.22
pragmatic,"A2,B1,C2",rows,C1,0.17
pragmatic,"A2,B1,C2",rows,C3,0.22
explicit,"A2,B1,C3",columns,A1,0.17
explicit,"A2,B1,C3",columns,A3,0.17
explicit,"A2,B1,C3",columns,B2,0.17
explicit,"A2,B1,C3",columns,B3,0.17
explicit,"A2,B1,C3",columns,C1,0.17
explicit,"A2,B1,C3",columns,C2,0.17
pragmatic,"A2,B1,C3",columns,A1,0.17
pragmatic,"A2,B1,C3",columns,A3,0.17
pragmatic,"A2,B1,C3",columns,B2,0.17
pragmatic,"A2,B1,C3",columns,B3,0.17
pragmatic,"A2,B1,C3",columns,C1,0.17
pragmatic,"A2,B1,C3",columns,C2,0.17
explicit,"A2,B1,C3",rows,A1,0.17
explicit,"A2,B1,C3",rows,A3,0.17
explicit,"A2,B1,C3",rows,B2,0.17
explicit,"A2,B1,C3",rows,B3,0.17
explicit,"A2,B1,C3",rows,C1,0.17
explicit,"A2,B1,C3",rows,C2,0.17
pragmatic,"A2,B1,C3",rows,A1,0.17
pragmatic,"A2,B1,C3",rows,A3,0.17
pragmatic,"A2,B1,C3",rows,B2,0.17
pragmatic,"A2,B1,C3",rows,B3,0.17
pragmatic,"A2,B1,C3",rows,C1,0.17
pragmatic,"A2,B1,C3",rows,C2,0.17
explicit,"A2,B1",columns,A1,0.25
explicit,"A2,B1",columns,B2,0.25
explicit,"A2,B1",columns,C1,0.25
explicit,"A2,B1",columns,C2,0.25
pragmatic,"A2,B1",columns,C1,0.50
pragmatic,"A2,B1",columns,C2,0.50
explicit,"A2,B1",rows,A1,0.25
explicit,"A2,B1",rows,A3,0.25
explicit,"A2,B1",rows,B2,0.25
explicit,"A2,B1",rows,B3,0.25
pragmatic,"A2,B1",rows,A3,0.50
pragmatic,"A2,B1",rows,B3,0.50
explicit,"A2,B2,B3,C1,C3",columns,A3,0.50
explicit,"A2,B2,B3,C1,C3",columns,C2,0.50
pragmatic,"A2,B2,B3,C1,C3",columns,A3,0.99
pragmatic,"A2,B2,B3,C1,C3",columns,C2,0.01
explicit,"A2,B2,B3,C1,C3",rows,B1,0.50
explicit,"A2,B2,B3,C1,C3",rows,C2,0.50
pragmatic,"A2,B2,B3,C1,C3",rows,B1,0.99
pragmatic,"A2,B2,B3,C1,C3",rows,C2,0.01
explicit,"A2,B2,B3,C1",columns,C2,1.00
pragmatic,"A2,B2,B3,C1",columns,C2,0.99
explicit,"A2,B2,B3,C1",rows,B1,1.00
pragmatic,"A2,B2,B3,C1",rows,B1,0.99
explicit,"A2,B2,B3,C3",columns,A3,0.50
explicit,"A2,B2,B3,C3",columns,C2,0.50
pragmatic,"A2,B2,B3,C3",columns,A3,0.50
pragmatic,"A2,B2,B3,C3",columns,C2,0.50
explicit,"A2,B2,B3,C3",rows,B1,1.00
pragmatic,"A2,B2,B3,C3",rows,B1,1.00
explicit,"A2,B2,B3",columns,C2,1.00
pragmatic,"A2,B2,B3",columns,C2,1.00
explicit,"A2,B2,B3",rows,B1,1.00
pragmatic,"A2,B2,B3",rows,B1,1.00
explicit,"A2,B2,C1,C3",columns,C2,1.00
pragmatic,"A2,B2,C1,C3",columns,C2,0.98
explicit,"A2,B2,C1,C3",rows,C2,1.00
pragmatic,"A2,B2,C1,C3",rows,C2,0.98
explicit,"A2,B2,C1",columns,C2,1.00
pragmatic,"A2,B2,C1",columns,C2,1.00
explicit,"A2,B2,C1",rows,A1,0.17
explicit,"A2,B2,C1",rows,A3,0.17
explicit,"A2,B2,C1",rows,B1,0.17
explicit,"A2,B2,C1",rows,B3,0.17
explicit,"A2,B2,C1",rows,C2,0.17
explicit,"A2,B2,C1",rows,C3,0.17
pragmatic,"A2,B2,C1",rows,A1,0.17
pragmatic,"A2,B2,C1",rows,A3,0.22
pragmatic,"A2,B2,C1",rows,B1,0.17
pragmatic,"A2,B2,C1",rows,B3,0.22
pragmatic,"A2,B2,C1",rows,C3,0.22
explicit,"A2,B2,C3",columns,C2,1.00
pragmatic,"A2,B2,C3",columns,C2,1.00
explicit,"A2,B2,C3",rows,A1,0.17
explicit,"A2,B2,C3",rows,A3,0.17
explicit,"A2,B2,C3",rows,B1,0.17
explicit,"A2,B2,C3",rows,B3,0.17
explicit,"A2,B2,C3",rows,C1,0.17
explicit,"A2,B2,C3",rows,C2,0.17
pragmatic,"A2,B2,C3",rows,A1,0.22
pragmatic,"A2,B2,C3",rows,A3,0.17
pragmatic,"A2,B2,C3",rows,B1,0.22
pragmatic,"A2,B2,C3",rows,B3,0.17
pragmatic,"A2,B2,C3",rows,C1,0.22
explicit,"A2,B2",columns,C2,1.00
pragmatic,"A2,B2",columns,C2,1.00
explicit,"A2,B2",rows,A1,0.25
explicit,"A2,B2",rows,A3,0.25
explicit,"A2,B2",rows,B1,0.25
explicit,"A2,B2",rows,B3,0.25
pragmatic,"A2,B2",rows,A1,0.25
pragmatic,"A2,B2",rows,A3,0.25
pragmatic,"A2,B2",rows,B1,0.25
pragmatic,"A2,B2",rows,B3,0.25
explicit,"A2,B3,C1,C2",columns,B2,1.00
pragmatic,"A2,B3,C1,C2",columns,B2,0.99
explicit,"A2,B3,C1,C2",rows,C3,1.00
pragmatic,"A2,B3,C1,C2",rows,C3,0.99
explicit,"A2,B3,C1,C3",columns,A3,1.00
pragmatic,"A2,B3,C1,C3",columns,A3,0.99
explicit,"A2,B3,C1,C3",rows,C2,1.00
pragmatic,"A2,B3,C1,C3",rows,C2,0.99
explicit,"A2,B3,C1",columns,A1,0.17
explicit,"A2,B3,C1",columns,A3,0.17
explicit,"A2,B3,C1",columns,B1,0.17
explicit,"A2,B3,C1",columns,B2,0.17
explicit,"A2,B3,C1",columns,C2,0.17
explicit,"A2,B3,C1",columns,C3,0.17
pragmatic,"A2,B3,C1",columns,A1,0.17
pragmatic,"A2,B3,C1",columns,A3,0.17
pragmatic,"A2,B3,C1",columns,B1,0.17
pragmatic,"A2,B3,C1",columns,B2,0.17
pragmatic,"A2,B3,C1",columns,C2,0.17
pragmatic,"A2,B3,C1",columns,C3,0.17
explicit,"A2,B3,C1",rows,A1,0.17
explicit,"A2,B3,C1",rows,A3,0.17
explicit,"A2,B3,C1",rows,B1,0.17
explicit,"A2,B3,C1",rows,B2,0.17
explicit,"A2,B3,C1",rows,C2,0.17
explicit,"A2,B3,C1",rows,C3,0.17
pragmatic,"A2,B3,C1",rows,A1,0.17
pragmatic,"A2,B3,C1",rows,A3,0.17
pragmatic,"A2,B3,C1",rows,B1,0.17
pragmatic,"A2,B3,C1",rows,B2,0.17
pragmatic,"A2,B3,C1",rows,C2,0.17
pragmatic,"A2,B3,C1",rows,C3,0.17
explicit,"A2,B3,C2,C3",columns,A3,0.50
explicit,"A2,B3,C2,C3",columns,B2,0.50
pragmatic,"A2,B3,C2,C3",columns,A3,0.50
pragmatic,"A2,B3,C2,C3",columns,B2,0.50
explicit,"A2,B3,C2,C3",rows,C1,1.00
pragmatic,"A2,B3,C2,C3",rows,C1,1.00
explicit,"A2,B3,C2",columns,B2,1.00
pragmatic,"A2,B3,C2",columns,B2,1.00
explicit,"A2,B3,C2",rows,A1,0.17
explicit,"A2,B3,C2",rows,A3,0.17
explicit,"A2,B3,C2",rows,B1,0.17
explicit,"A2,B3,C2",rows,B2,0.17
explicit,"A2,B3,C2",rows,C1,0.17
explicit,"A2,B3,C2",rows,C3,0.17
pragmatic,"A2,B3,C2",rows,A1,0.22
pragmatic,"A2,B3,C2",rows,A3,0.17
pragmatic,"A2,B3,C2",rows,B1,0.22
pragmatic,"A2,B3,C2",rows,C1,0.22
pragmatic,"A2,B3,C2",rows,C3,0.17
explicit,"A2,B3,C3",columns,A3,1.00
pragmatic,"A2,B3,C3",columns,A3,1.00
explicit,"A2,B3,C3",rows,A1,0.17
explicit,"A2,B3,C3",rows,A3,0.17
explicit,"A2,B3,C3",rows,B1,0.17
explicit,"A2,B3,C3",rows,B2,0.17
explicit,"A2,B3,C3",rows,C1,0.17
explicit,"A2,B3,C3",rows,C2,0.17
pragmatic,"A2,B3,C3",rows,A1,0.22
pragmatic,"A2,B3,C3",rows,B1,0.22
pragmatic,"A2,B3,C3",rows,B2,0.17
pragmatic,"A2,B3,C3",rows,C1,0.22
pragmatic,"A2,B3,C3",rows,C2,0.17
explicit,"A2,B3",columns,A3,0.25
explicit,"A2,B3",columns,B2,0.25
explicit,"A2,B3",columns,C2,0.25
explicit,"A2,B3",columns,C3,0.25
pragmatic,"A2,B3",columns,C2,0.50
pragmatic,"A2,B3",columns,C3,0.50
explicit,"A2,B3",rows,A1,0.25
explicit,"A2,B3",rows,A3,0.25
explicit,"A2,B3",rows,B1,0.25
explicit,"A2,B3",rows,B2,0.25
pragmatic,"A2,B3",rows,A1,0.50
pragmatic,"A2,B3",rows,B1,0.50
explicit,"A2,C1,C2",columns,B2,1.00
pragmatic,"A2,C1,C2",columns,B2,1.00
explicit,"A2,C1,C2",rows,C3,1.00
pragmatic,"A2,C1,C2",rows,C3,1.00
explicit,"A2,C1,C3",columns,A1,0.17
explicit,"A2,C1,C3",columns,A3,0.17
explicit,"A2,C1,C3",columns,B1,0.17
explicit,"A2,C1,C3",columns,B2,0.17
explicit,"A2,C1,C3",columns,B3,0.17
explicit,"A2,C1,C3",columns,C2,0.17
pragmatic,"A2,C1,C3",columns,A1,0.17
pragmatic,"A2,C1,C3",columns,A3,0.17
pragmatic,"A2,C1,C3",columns,B1,0.22
pragmatic,"A2,C1,C3",columns,B2,0.22
pragmatic,"A2,C1,C3",columns,B3,0.22
explicit,"A2,C1,C3",rows,C2,1.00
pragmatic,"A2,C1,C3",rows,C2,1.00
explicit,"A2,C1",columns,A1,0.25
explicit,"A2,C1",columns,B1,0.25
explicit,"A2,C1",columns,B2,0.25
explicit,"A2,C1",columns,C2,0.25
pragmatic,"A2,C1",columns,B1,0.50
pragmatic,"A2,C1",columns,B2,0.50
explicit,"A2,C1",rows,A1,0.25
explicit,"A2,C1",rows,A3,0.25
explicit,"A2,C1",rows,C2,0.25
explicit,"A2,C1",rows,C3,0.25
pragmatic,"A2,C1",rows,A3,0.50
pragmatic,"A2,C1",rows,C3,0.50
explicit,"A2,C2,C3",columns,B2,1.00
pragmatic,"A2,C2,C3",columns,B2,1.00
explicit,"A2,C2,C3",rows,C1,1.00
pragmatic,"A2,C2,C3",rows,C1,1.00
explicit,"A2,C2",columns,B2,1.00
pragmatic,"A2,C2",columns,B2,1.00
explicit,"A2,C2",rows,A1,0.25
explicit,"A2,C2",rows,A3,0.25
explicit,"A2,C2",rows,C1,0.25
explicit,"A2,C2",rows,C3,0.25
pragmatic,"A2,C2",rows,A1,0.25
pragmatic,"A2,C2",rows,A3,0.25
pragmatic,"A2,C2",rows,C1,0.25
pragmatic,"A2,C2",rows,C3,0.25
explicit,"A2,C3",columns,A3,0.25
explicit,"A2,C3",columns,B2,0.25
explicit,"A2,C3",columns,B3,0.25
explicit,"A2,C3",columns,C2,0.25
pragmatic,"A2,C3",columns,B2,0.50
pragmatic,"A2,C3",columns,B3,0.50
explicit,"A2,C3",rows,A1,0.25
explicit,"A2,C3",rows,A3,0.25
explicit,"A2,C3",rows,C1,0.25
explicit,"A2,C3",rows,C2,0.25
pragmatic,"A2,C3",rows,A1,0.50
pragmatic,"A2,C3",rows,C1,0.50
explicit,A2,columns,B2,0.50
explicit,A2,columns,C2,0.50
pragmatic,A2,columns,B2,0.50
pragmatic,A2,columns,C2,0.50
explicit,A2,rows,A1,0.50
explicit,A2,rows,A3,0.50
pragmatic,A2,rows,A1,0.50
pragmatic,A2,rows,A3,0.50
explicit,"A3,B1,B2,C1,C2",columns,A1,0.50
explicit,"A3,B1,B2,C1,C2",columns,A2,0.50
pragmatic,"A3,B1,B2,C1,C2",columns,A1,0.50
pragmatic,"A3,B1,B2,C1,C2",columns,A2,0.50
explicit,"A3,B1,B2,C1,C2",rows,B3,0.50
explicit,"A3,B1,B2,C1,C2",rows,C3,0.50
pragmatic,"A3,B1,B2,C1,C2",rows,B3,0.50
pragmatic,"A3,B1,B2,C1,C2",rows,C3,0.50
explicit,"A3,B1,B2,C1,C3",columns,A1,0.50
explicit,"A3,B1,B2,C1,C3",columns,B3,0.50
pragmatic,"A3,B1,B2,C1,C3",columns,A1,0.99
pragmatic,"A3,B1,B2,C1,C3",columns,B3,0.01
explicit,"A3,B1,B2,C1,C3",rows,B3,0.50
explicit,"A3,B1,B2,C1,C3",rows,C2,0.50
pragmatic,"A3,B1,B2,C1,C3",rows,B3,0.01
pragmatic,"A3,B1,B2,C1,C3",rows,C2,0.99
explicit,"A3,B1,B2,C1",columns,A1,1.00
pragmatic,"A3,B1,B2,C1",columns,A1,0.99
explicit,"A3,B1,B2,C1",rows,B3,1.00
pragmatic,"A3,B1,B2,C1",rows,B3,0.99
explicit,"A3,B1,B2,C2,C3",columns,A2,0.50
explicit,"A3,B1,B2,C2,C3",columns,B3,0.50
pragmatic,"A3,B1,B2,C2,C3",columns,A2,0.99
pragmatic,"A3,B1,B2,C2,C3",columns,B3,0.01
explicit,"A3,B1,B2,C2,C3",rows,B3,0.50
explicit,"A3,B1,B2,C2,C3",rows,C1,0.50
pragmatic,"A3,B1,B2,C2,C3",rows,B3,0.01
pragmatic,"A3,B1,B2,C2,C3",rows,C1,0.99
explicit,"A3,B1,B2,C2",columns,A2,1.00
pragmatic,"A3,B1,B2,C2",columns,A2,0.99
explicit,"A3,B1,B2,C2",rows,B3,1.00
pragmatic,"A3,B1,B2,C2",rows,B3,0.99
explicit,"A3,B1,B2,C3",columns,B3,1.00
pragmatic,"A3,B1,B2,C3",columns,B3,0.98
explicit,"A3,B1,B2,C3",rows,B3,1.00
pragmatic,"A3,B1,B2,C3",rows,B3,0.98
explicit,"A3,B1,B2",columns,A1,0.17
explicit,"A3,B1,B2",columns,A2,0.17
explicit,"A3,B1,B2",columns,B3,0.17
explicit,"A3,B1,B2",columns,C1,0.17
explicit,"A3,B1,B2",columns,C2,0.17
explicit,"A3,B1,B2",columns,C3,0.17
pragmatic,"A3,B1,B2",columns,A1,0.17
pragmatic,"A3,B1,B2",columns,A2,0.17
pragmatic,"A3,B1,B2",columns,C1,0.22
pragmatic,"A3,B1,B2",columns,C2,0.22
pragmatic,"A3,B1,B2",columns,C3,0.22
explicit,"A3,B1,B2",rows,B3,1.00
pragmatic,"A3,B1,B2",rows,B3,1.00
explicit,"A3,B1,B3,C1,C2",columns,A1,0.50
explicit,"A3,B1,B3,C1,C2",columns,C3,0.50
pragmatic,"A3,B1,B3,C1,C2",columns,A1,0.99
pragmatic,"A3,B1,B3,C1,C2",columns,C3,0.01
explicit,"A3,B1,B3,C1,C2",rows,B2,0.50
explicit,"A3,B1,B3,C1,C2",rows,C3,0.50
pragmatic,"A3,B1,B3,C1,C2",rows,B2,0.99
pragmatic,"A3,B1,B3,C1,C2",rows,C3,0.01
explicit,"A3,B1,B3,C1",columns,A1,0.50
explicit,"A3,B1,B3,C1",columns,C3,0.50
pragmatic,"A3,B1,B3,C1",columns,A1,0.50
pragmatic,"A3,B1,B3,C1",columns,C3,0.50
explicit,"A3,B1,B3,C1",rows,B2,1.00
pragmatic,"A3,B1,B3,C1",rows,B2,1.00
explicit,"A3,B1,B3,C2",columns,C3,1.00
pragmatic,"A3,B1,B3,C2",columns,C3,0.99
explicit,"A3,B1,B3,C2",rows,B2,1.00
pragmatic,"A3,B1,B3,C2",rows,B2,0.99
explicit,"A3,B1,B3",columns,C3,1.00
pragmatic,"A3,B1,B3",columns,C3,1.00
explicit,"A3,B1,B3",rows,B2,1.00
pragmatic,"A3,B1,B3",rows,B2,1.00
explicit,"A3,B1,C1,C2",columns,A1,1.00
pragmatic,"A3,B1,C1,C2",columns,A1,0.99
explicit,"A3,B1,C1,C2",rows,C3,1.00
pragmatic,"A3,B1,C1,C2",rows,C3,0.99
explicit,"A3,B1,C1,C3",columns,A1,0.50
explicit,"A3,B1,C1,C3",columns,B3,0.50
pragmatic,"A3,B1,C1,C3",columns,A1,0.50
pragmatic,"A3,B1,C1,C3",columns,B3,0.50
explicit,"A3,B1,C1,C3",rows,C2,1.00
pragmatic,"A3,B1,C1,C3",rows,C2,1.00
explicit,"A3,B1,C1",columns,A1,1.00
pragmatic,"A3,B1,C1",columns,A1,1.00
explicit,"A3,B1,C1",rows,A1,0.17
explicit,"A3,B1,C1",rows,A2,0.17
explicit,"A3,B1,C1",rows,B2,0.17
explicit,"A3,B1,C1",rows,B3,0.17
explicit,"A3,B1,C1",rows,C2,0.17
explicit,"A3,B1,C1",rows,C3,0.17
pragmatic,"A3,B1,C1",rows,A2,0.22
pragmatic,"A3,B1,C1",rows,B2,0.22
pragmatic,"A3,B1,C1",rows,B3,0.17
pragmatic,"A3,B1,C1",rows,C2,0.22
pragmatic,"A3,B1,C1",rows,C3,0.17
explicit,"A3,B1,C2,C3",columns,B3,1.00
pragmatic,"A3,B1,C2,C3",columns,B3,0.99
explicit,"A3,B1,C2,C3",rows,C1,1.00
pragmatic,"A3,B1,C2,C3",rows,C1,0.99
explicit,"A3,B1,C2",columns,A1,0.17
explicit,"A3,B1,C2",columns,A2,0.17
explicit,"A3,B1,C2",columns,B2,0.17
explicit,"A3,B1,C2",columns,B3,0.17
explicit,"A3,B1,C2",columns,C1,0.17
explicit,"A3,B1,C2",columns,C3,0.17
pragmatic,"A3,B1,C2",columns,A1,0.17
pragmatic,"A3,B1,C2",columns,A2,0.17
pragmatic,"A3,B1,C2",columns,B2,0.17
pragmatic,"A3,B1,C2",columns,B3,0.17
pragmatic,"A3,B1,C2",columns,C1,0.17
pragmatic,"A3,B1,C2",columns,C3,0.17
explicit,"A3,B1,C2",rows,A1,0.17
explicit,"A3,B1,C2",rows,A2,0.17
explicit,"A3,B1,C2",rows,B2,0.17
explicit,"A3,B1,C2",rows,B3,0.17
explicit,"A3,B1,C2",rows,C1,0.17
explicit,"A3,B1,C2",rows,C3,0.17
pragmatic,"A3,B1,C2",rows,A1,0.17
pragmatic,"A3,B1,C2",rows,A2,0.17
pragmatic,"A3,B1,C2",rows,B2,0.17
pragmatic,"A3,B1,C2",rows,B3,0.17
pragmatic,"A3,B1,C2",rows,C1,0.17
pragmatic,"A3,B1,C2",rows,C3,0.17
explicit,"A3,B1,C3",columns,B3,1.00
pragmatic,"A3,B1,C3",columns,B3,1.00
explicit,"A3,B1,C3",rows,A1,0.17
explicit,"A3,B1,C3",rows,A2,0.17
explicit,"A3,B1,C3",rows,B2,0.17
explicit,"A3,B1,C3",rows,B3,0.17
explicit,"A3,B1,C3",rows,C1,0.17
explicit,"A3,B1,C3",rows,C2,0.17
pragmatic,"A3,B1,C3",rows,A1,0.17
pragmatic,"A3,B1,C3",rows,A2,0.22
pragmatic,"A3,B1,C3",rows,B2,0.22
pragmatic,"A3,B1,C3",rows,C1,0.17
pragmatic,"A3,B1,C3",rows,C2,0.22
explicit,"A3,B1",columns,A1,0.25
explicit,"A3,B1",columns,B3,0.25
explicit,"A3,B1",columns,C1,0.25
explicit,"A3,B1",columns,C3,0.25
pragmatic,"A3,B1",columns,C1,0.50
pragmatic,"A3,B1",columns,C3,0.50
explicit,"A3,B1",rows,A1,0.25
explicit,"A3,B1",rows,A2,0.25
explicit,"A3,B1",rows,B2,0.25
explicit,"A3,B1",rows,B3,0.25
pragmatic,"A3,B1",rows,A2,0.50
pragmatic,"A3,B1",rows,B2,0.50
explicit,"A3,B2,B3,C1,C2",columns,A2,0.50
explicit,"A3,B2,B3,C1,C2",columns,C3,0.50
pragmatic,"A3,B2,B3,C1,C2",columns,A2,0.99
pragmatic,"A3,B2,B3,C1,C2",columns,C3,0.01
explicit,"A3,B2,B3,C1,C2",rows,B1,0.50
explicit,"A3,B2,B3,C1,C2",rows,C3,0.50
pragmatic,"A3,B2,B3,C1,C2",rows,B1,0.99
pragmatic,"A3,B2,B3,C1,C2",rows,C3,0.01
explicit,"A3,B2,B3,C1",columns,C3,1.00
pragmatic,"A3,B2,B3,C1",columns,C3,0.99
explicit,"A3,B2,B3,C1",rows,B1,1.00
pragmatic,"A3,B2,B3,C1",rows,B1,0.99
explicit,"A3,B2,B3,C2",columns,A2,0.50
explicit,"A3,B2,B3,C2",columns,C3,0.50
pragmatic,"A3,B2,B3,C2",columns,A2,0.50
